# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
31.50 1380875.96   0.00   0.00   0.00   0.00 381658.82
31.60 1383712.13   0.00   0.00   0.00   0.00 381818.55
31.70 1386534.59   0.00   0.00   0.00   0.00 381956.51
31.80 1389343.32   0.00   0.00   0.00   0.00 382072.60
31.90 1392138.27   0.00   0.00   0.00   0.00 382166.71
32.00 1394919.43   0.00   0.00   0.00   0.00 382238.75
32.10 1397686.76   0.00   0.00   0.00   0.00 382288.62
32.20 1400440.25   0.00   0.00   0.00   0.00 382316.22
32.30 1403179.86   0.00   0.00   0.00   0.00 382321.47
32.40 1405905.56   0.00   0.00   0.00   0.00 382304.26
32.50 1408617.34   0.00   0.00   0.00   0.00 382264.50
32.60 1411315.15   0.00   0.00   0.00   0.00 382202.11
32.70 1413998.98   0.00   0.00   0.00   0.00 382117.00
32.80 1416668.80   0.00   0.00   0.00   0.00 382009.07
32.90 1419324.58   0.00   0.00   0.00   0.00 381878.23
33.00 1421966.30   0.00   0.00   0.00   0.00 381724.41
33.10 1424593.92   0.00   0.00   0.00   0.00 381547.51
33.20 1427207.43   0.00   0.00   0.00   0.00 381347.46
33.30 1429806.80   0.00   0.00   0.00   0.00 381124.16
33.40 1432392.00   0.00   0.00   0.00   0.00 380877.55
33.50 1434963.00   0.00   0.00   0.00   0.00 380607.53
33.60 1437519.79   0.00   0.00   0.00   0.00 380314.03
33.70 1440062.33   0.00   0.00   0.00   0.00 379996.98
33.80 1442590.60   0.00   0.00   0.00   0.00 379656.29
33.90 1445104.57   0.00   0.00   0.00   0.00 379291.89
34.00 1447604.23   0.00   0.00   0.00   0.00 378903.71
34.10 1450089.54   0.00   0.00   0.00   0.00 378491.68
34.20 1452560.48   0.00   0.00   0.00   0.00 378055.71
34.30 1455017.03   0.00   0.00   0.00   0.00 377595.76
34.40 1457459.16   0.00   0.00   0.00   0.00 377111.74
34.50 1459886.85   0.00   0.00   0.00   0.00 376603.58
34.60 1462300.07   0.00   0.00   0.00   0.00 376071.23
34.70 1464698.80   0.00   0.00   0.00   0.00 375514.62
34.80 1467083.02   0.00   0.00   0.00   0.00 374933.68
34.90 1469452.70   0.00   0.00   0.00   0.00 374328.36
35.00 1471807.82   0.00   0.00   0.00   0.00 373698.59
35.10 1474148.35   0.00   0.00   0.00   0.00 373044.31
35.20 1476474.28   0.00   0.00   0.00   0.00 372365.47
