#   This    is  an  input   file    for the tower   top force   time-series in  the TMD module  of  ServoDyn
#                                                                   
#   it  has an  arbitrary   number  of  header  lines   denoted with    #!% characters                  
!   Another comment line                                                        
#                                                                   
#   Time,   Fx, Fy, Fz, Mx, My, Mz                                      
#   (s) (N) (N) (N) (N-m)   (N-m)   (N-m)                                       
0.0 0.0 0.0 0.0 0.0 0.0 0.0
222.6   1650000.0   0.0 0.0 0.0 0.0 893803.8
222.7   1650000.0   0.0 0.0 0.0 0.0 883909.0
222.8   1650000.0   0.0 0.0 0.0 0.0 965799.2
222.9   1650000.0   0.0 0.0 0.0 0.0 943893.6
223.0   1650000.0   0.0 0.0 0.0 0.0 1029110.5
223.1   1650000.0   0.0 0.0 0.0 0.0 1212737.2
223.2   1650000.0   0.0 0.0 0.0 0.0 1294364.0
223.3   1650000.0   0.0 0.0 0.0 0.0 1188463.5
223.4   1650000.0   0.0 0.0 0.0 0.0 1303707.4
223.5   1650000.0   0.0 0.0 0.0 0.0 1541289.8
223.6   1650000.0   0.0 0.0 0.0 0.0 1854241.7
223.7   1650000.0   0.0 0.0 0.0 0.0 1908658.2
223.8   1650000.0   0.0 0.0 0.0 0.0 1828904.7
223.9   1650000.0   0.0 0.0 0.0 0.0 1874160.2
224.0   1650000.0   0.0 0.0 0.0 0.0 2153009.8
224.1   1650000.0   0.0 0.0 0.0 0.0 2235483.0
224.2   1650000.0   0.0 0.0 0.0 0.0 2357280.0
224.3   1650000.0   0.0 0.0 0.0 0.0 2324392.3
224.4   1650000.0   0.0 0.0 0.0 0.0 2374438.5
224.5   1650000.0   0.0 0.0 0.0 0.0 2519841.2
224.6   1650000.0   0.0 0.0 0.0 0.0 2387004.4
224.7   1650000.0   0.0 0.0 0.0 0.0 2439765.8
224.8   1650000.0   0.0 0.0 0.0 0.0 2582967.5
224.9   1650000.0   0.0 0.0 0.0 0.0 2609977.8
225.0   1650000.0   0.0 0.0 0.0 0.0 2616582.9
225.1   1650000.0   0.0 0.0 0.0 0.0 2619779.5
225.2   1650000.0   0.0 0.0 0.0 0.0 2643851.9
225.3   1650000.0   0.0 0.0 0.0 0.0 2881207.6
225.4   1650000.0   0.0 0.0 0.0 0.0 2927632.0
225.5   1650000.0   0.0 0.0 0.0 0.0 2876952.2
225.6   1650000.0   0.0 0.0 0.0 0.0 3120303.2
225.7   1650000.0   0.0 0.0 0.0 0.0 3185098.3
225.8   1650000.0   0.0 0.0 0.0 0.0 3346426.2
225.9   1650000.0   0.0 0.0 0.0 0.0 3405977.2
226.0   1650000.0   0.0 0.0 0.0 0.0 3555841.4
226.1   1650000.0   0.0 0.0 0.0 0.0 3787253.6
226.2   1650000.0   0.0 0.0 0.0 0.0 3704400.8
226.3   1650000.0   0.0 0.0 0.0 0.0 3801019.6
226.4   1650000.0   0.0 0.0 0.0 0.0 3980362.9
226.5   1650000.0   0.0 0.0 0.0 0.0 4029295.6
226.6   1650000.0   0.0 0.0 0.0 0.0 4043975.9
226.7   1650000.0   0.0 0.0 0.0 0.0 4037461.9
226.8   1650000.0   0.0 0.0 0.0 0.0 4038175.2
226.9   1650000.0   0.0 0.0 0.0 0.0 4043655.7
227.0   1650000.0   0.0 0.0 0.0 0.0 4235127.6
227.1   1650000.0   0.0 0.0 0.0 0.0 4205961.2
227.2   1650000.0   0.0 0.0 0.0 0.0 4066238.4
227.3   1650000.0   0.0 0.0 0.0 0.0 4234640.4
227.4   1650000.0   0.0 0.0 0.0 0.0 4247285.8
227.5   1650000.0   0.0 0.0 0.0 0.0 4371323.1
227.6   1650000.0   0.0 0.0 0.0 0.0 4395893.4
227.7   1650000.0   0.0 0.0 0.0 0.0 4524140.3
227.8   1650000.0   0.0 0.0 0.0 0.0 4748732.4
227.9   1650000.0   0.0 0.0 0.0 0.0 4686847.1
228.0   1650000.0   0.0 0.0 0.0 0.0 4826660.6
228.1   1650000.0   0.0 0.0 0.0 0.0 5068351.5
228.2   1650000.0   0.0 0.0 0.0 0.0 5192941.3
228.3   1650000.0   0.0 0.0 0.0 0.0 5279217.9
228.4   1650000.0   0.0 0.0 0.0 0.0 5334451.8
228.5   1650000.0   0.0 0.0 0.0 0.0 5382396.2
228.6   1650000.0   0.0 0.0 0.0 0.0 5422038.5
228.7   1650000.0   0.0 0.0 0.0 0.0 5460381.2
228.8   1650000.0   0.0 0.0 0.0 0.0 5484840.9
228.9   1650000.0   0.0 0.0 0.0 0.0 5668563.4
229.0   1650000.0   0.0 0.0 0.0 0.0 5614137.6
229.1   1650000.0   0.0 0.0 0.0 0.0 5451091.4
229.2   1650000.0   0.0 0.0 0.0 0.0 5596133.8
229.3   1650000.0   0.0 0.0 0.0 0.0 5572328.4
229.4   1650000.0   0.0 0.0 0.0 0.0 5646879.3
229.5   1650000.0   0.0 0.0 0.0 0.0 5618665.5
229.6   1650000.0   0.0 0.0 0.0 0.0 5697044.5
229.7   1650000.0   0.0 0.0 0.0 0.0 5698270.1
229.8   1650000.0   0.0 0.0 0.0 0.0 5823635.6
229.9   1650000.0   0.0 0.0 0.0 0.0 6054444.9
230.0   1650000.0   0.0 0.0 0.0 0.0 5994360.4
230.1   1650000.0   0.0 0.0 0.0 0.0 6129233.4
230.2   1650000.0   0.0 0.0 0.0 0.0 6371303.7
230.3   1650000.0   0.0 0.0 0.0 0.0 6502756.1
230.4   1650000.0   0.0 0.0 0.0 0.0 6592707.2
230.5   1650000.0   0.0 0.0 0.0 0.0 6648488.0
230.6   1650000.0   0.0 0.0 0.0 0.0 6696782.7
230.7   1650000.0   0.0 0.0 0.0 0.0 6747274.4
230.8   1650000.0   0.0 0.0 0.0 0.0 6791219.7
230.9   1650000.0   0.0 0.0 0.0 0.0 6817488.5
231.0   1650000.0   0.0 0.0 0.0 0.0 6813244.8
231.1   1650000.0   0.0 0.0 0.0 0.0 6970907.3
231.2   1650000.0   0.0 0.0 0.0 0.0 6906009.1
231.3   1650000.0   0.0 0.0 0.0 0.0 6743671.7
231.4   1650000.0   0.0 0.0 0.0 0.0 6706858.2
231.5   1650000.0   0.0 0.0 0.0 0.0 6901592.6
231.6   1650000.0   0.0 0.0 0.0 0.0 6904329.9
231.7   1650000.0   0.0 0.0 0.0 0.0 6972834.0
231.8   1650000.0   0.0 0.0 0.0 0.0 6933398.9
231.9   1650000.0   0.0 0.0 0.0 0.0 7012890.4
232.0   1650000.0   0.0 0.0 0.0 0.0 7041329.1
232.1   1650000.0   0.0 0.0 0.0 0.0 7200435.8
232.2   1650000.0   0.0 0.0 0.0 0.0 7275119.1
232.3   1650000.0   0.0 0.0 0.0 0.0 7435657.0
232.4   1650000.0   0.0 0.0 0.0 0.0 7667496.4
232.5   1650000.0   0.0 0.0 0.0 0.0 7591314.5
232.6   1650000.0   0.0 0.0 0.0 0.0 7699720.2
232.7   1650000.0   0.0 0.0 0.0 0.0 7901324.8
232.8   1650000.0   0.0 0.0 0.0 0.0 7805064.6
232.9   1650000.0   0.0 0.0 0.0 0.0 7883686.4
233.0   1650000.0   0.0 0.0 0.0 0.0 8032198.0
233.1   1650000.0   0.0 0.0 0.0 0.0 8038964.9
233.2   1650000.0   0.0 0.0 0.0 0.0 7998992.0
233.3   1650000.0   0.0 0.0 0.0 0.0 7940599.3
233.4   1650000.0   0.0 0.0 0.0 0.0 7900126.4
233.5   1650000.0   0.0 0.0 0.0 0.0 7882706.3
233.6   1650000.0   0.0 0.0 0.0 0.0 7876935.8
233.7   1650000.0   0.0 0.0 0.0 0.0 7880008.9
233.8   1650000.0   0.0 0.0 0.0 0.0 7883008.8
233.9   1650000.0   0.0 0.0 0.0 0.0 7899284.5
234.0   1650000.0   0.0 0.0 0.0 0.0 7939618.4
234.1   1650000.0   0.0 0.0 0.0 0.0 8008653.8
234.2   1650000.0   0.0 0.0 0.0 0.0 8097040.2
234.3   1650000.0   0.0 0.0 0.0 0.0 8198456.5
234.4   1650000.0   0.0 0.0 0.0 0.0 8480785.6
234.5   1650000.0   0.0 0.0 0.0 0.0 8538702.6
234.6   1650000.0   0.0 0.0 0.0 0.0 8476571.6
234.7   1650000.0   0.0 0.0 0.0 0.0 8527751.5
234.8   1650000.0   0.0 0.0 0.0 0.0 8614024.0
234.9   1650000.0   0.0 0.0 0.0 0.0 8889695.4
235.0   1650000.0   0.0 0.0 0.0 0.0 8913327.9
235.1   1650000.0   0.0 0.0 0.0 0.0 8781986.2
235.2   1650000.0   0.0 0.0 0.0 0.0 8913493.6
235.3   1650000.0   0.0 0.0 0.0 0.0 8854776.7
235.4   1650000.0   0.0 0.0 0.0 0.0 8712018.9
235.5   1650000.0   0.0 0.0 0.0 0.0 8852090.0
235.6   1650000.0   0.0 0.0 0.0 0.0 8784556.5
235.7   1650000.0   0.0 0.0 0.0 0.0 8608219.2
